frog.no,species,svl,jaw,hind.limb,hand,foot,colour,weight,site,transect
1,Rana chalconota,31.3,11.3,4,0,2,3,NA,1,IF1
2,Rana chalconota,35,11.7,4,0,2,3,NA,2,IF1
3,Rana chalconota,39,11,4,0,2,3,NA,1,IF1
4,Rana chalconota,32.5,9.8,4,0,2,3,1,1,IF1
5,Rana chalconota,30.3,8.9,4,0,2,3,1,2,IF1
6,Rana chalconota,29.2,9.5,4,0,2,3,1.5,2,IF1
7,Rana chalconota,NA,NA,4,NA,NA,NA,NA,2,IF1
8,Rhacophorus dulitensis,36.1,11.4,4,3,2,1,1.6,1,IF1
9,Rana chalconota,29.9,12.1,4,0,2,3,1.3,2,IF1
10,Rana chalconota,48.9,14.6,4,0,2,2,4.8,1,IF1
11,Rhacophorus appendiculatus,32.5,12.7,4,0,2,3,1.6,1,IF1
12,Rhacophorus appendiculatus,33.3,12.7,4,0,2,3,1.7,2,IF1
13,Rhacophorus appendiculatus,29.4,11.5,4,0,2,3,0.8,1,IF1
14,Rhacophorus appendiculatus,45,17.9,4,0,2,3,5.5,2,REF5
15,Rhacophorus appendiculatus,40.8,16.1,4,0,2,2,4,2,REF5
16,Polypedates macrotis,74.4,26.9,4,0,2,2,22,2,REF5
17,Rhacophorus appendiculatus,42.1,15.8,4,0,2,2,3.9,1,REF5
18,Rana chalconota,45.1,13.9,4,0,2,3,5.3,1,REF4
19,Rhacophorus appendiculatus,40.8,4.9,4,0,2,3,2.8,1,REF4
20,Rana chalconota,38.5,11.1,4,0,2,3,2.5,0,REF1
21,Rana chalconota,40.6,12.5,4,0,2,1,6,1,REF1
22,Rana chalconota,34.9,10.6,4,0,2,3,1.9,0,REF1
23,Rhacophorus appendiculatus,31.4,13,4,0,2,2,1.9,2,REF1
24,Rana chalconota,36.3,11.2,4,0,2,3,2.7,2,REF2
25,Rhacophorus appendiculatus,46.5,16.5,4,0,2,1,5.4,1,IF1
26,Microhyla perpava,14,4.8,4,0,2,2,0.4,1,IF1
27,Polypedates macrotis,47.4,16.2,4,0,1,2,6,1,IF1
28,Rana chalconota,43.7,14.6,4,0,1,2,4.1,1,IF1
29,Rana chalconota,29.5,9.4,4,0,2,1,1.5,2,IF1
30,Rana chalconota,44.1,14.8,4,0,2,3,4.1,1,IF1
31,Microhyla perpava,13.1,6,4,0,2,2,0.4,1,IF1
32,Rana chalconota,14.4,6.2,4,0,2,2,0.3,1,IF1
33,Rana chalconota,41.5,13.4,4,0,2,3,3.6,1,IF1
34,Polypedates macrotis,49.8,17,4,,2,2,5.2,1,IF1
35,Rana chalconota,36.5,10.3,4,0,2,3,NA,1,IF1
36,Rana chalconota,27.7,8.4,4,0,2,1,1.5,1,IF1
37,Rana chalconota,44.2,14.8,4,,2,3,4.9,1,IF1
38,Rhacophorus pardalis,40.4,13.3,4,3,3,4,2.5,1,IF2
39,Rhacophorus appendiculatus,33.1,12.4,4,0,2,3,1.9,1,IF2
40,Metaphrynella sundana,16.9,6.6,3,0,0,2,0.6,2,IF2
41,Rana chalconota,29,10,4,0,2,3,1.8,1,IF2
42,Rhacophorus appendiculatus,28.5,9.8,4,0,1,3,7.3,1,IF2
